REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,1/03/2023 0:05,4404.19,81.82,TRADE
VIC1,1/03/2023 0:10,4413.55,82.72,TRADE
VIC1,1/03/2023 0:15,4378.35,81.12,TRADE
VIC1,1/03/2023 0:20,4398.34,79.84,TRADE
VIC1,1/03/2023 0:25,4377.51,79.71,TRADE
VIC1,1/03/2023 0:30,4357.52,80.69,TRADE
VIC1,1/03/2023 0:35,4365.47,79.72,TRADE
VIC1,1/03/2023 0:40,4337.24,80.01,TRADE
VIC1,1/03/2023 0:45,4302.49,79.97,TRADE
VIC1,1/03/2023 0:50,4305.06,77.2,TRADE
VIC1,1/03/2023 0:55,4228.63,70,TRADE
VIC1,1/03/2023 1:00,4234.29,63.78,TRADE
VIC1,1/03/2023 1:05,4310.11,77.21,TRADE
VIC1,1/03/2023 1:10,4246.37,70,TRADE
VIC1,1/03/2023 1:15,4154.61,50.17,TRADE
VIC1,1/03/2023 1:20,4204.58,69.97,TRADE
VIC1,1/03/2023 1:25,4158.5,65.88,TRADE
VIC1,1/03/2023 1:30,4151.04,51.29,TRADE
VIC1,1/03/2023 1:35,4101.21,60.44,TRADE
VIC1,1/03/2023 1:40,4003.3,45.44,TRADE
VIC1,1/03/2023 1:45,4071.17,62.7,TRADE
VIC1,1/03/2023 1:50,4074.64,55.4,TRADE
VIC1,1/03/2023 1:55,3959.42,52.02,TRADE
VIC1,1/03/2023 2:00,4053.4,62.39,TRADE
VIC1,1/03/2023 2:05,4054.01,64.98,TRADE
VIC1,1/03/2023 2:10,4046.85,64.72,TRADE
VIC1,1/03/2023 2:15,4006.77,60.38,TRADE
VIC1,1/03/2023 2:20,3965.91,55.67,TRADE
VIC1,1/03/2023 2:25,4009.78,60.96,TRADE
VIC1,1/03/2023 2:30,3996.64,57.05,TRADE
VIC1,1/03/2023 2:35,3979.02,56.45,TRADE
VIC1,1/03/2023 2:40,3997.03,52.1,TRADE
VIC1,1/03/2023 2:45,4007.98,53.04,TRADE
VIC1,1/03/2023 2:50,4007.42,51.89,TRADE
VIC1,1/03/2023 2:55,3983.01,50.97,TRADE
VIC1,1/03/2023 3:00,3950.49,49.06,TRADE
VIC1,1/03/2023 3:05,3984.54,52.53,TRADE
VIC1,1/03/2023 3:10,4018.4,53.39,TRADE
VIC1,1/03/2023 3:15,3959.27,49.13,TRADE
VIC1,1/03/2023 3:20,3967.97,49.78,TRADE
VIC1,1/03/2023 3:25,4019.21,56.03,TRADE
VIC1,1/03/2023 3:30,4012.3,57.73,TRADE
VIC1,1/03/2023 3:35,4020.22,63.74,TRADE
VIC1,1/03/2023 3:40,4011.32,64.1,TRADE
VIC1,1/03/2023 3:45,3955.26,63.3,TRADE
VIC1,1/03/2023 3:50,4029.15,70,TRADE
VIC1,1/03/2023 3:55,4014.92,70,TRADE
VIC1,1/03/2023 4:00,4004.1,70,TRADE
VIC1,1/03/2023 4:05,4070.23,79.74,TRADE
VIC1,1/03/2023 4:10,4101.41,79.74,TRADE
VIC1,1/03/2023 4:15,4131.78,80.18,TRADE
VIC1,1/03/2023 4:20,4167.48,84.24,TRADE
VIC1,1/03/2023 4:25,4144.04,80.95,TRADE
VIC1,1/03/2023 4:30,4178.59,84.43,TRADE
VIC1,1/03/2023 4:35,4194.11,81.85,TRADE
VIC1,1/03/2023 4:40,4217.75,86.21,TRADE
