date_only,min_temp,max_temp,rainfall,evaporation,sunshine,max_wind_dir,max_wind_speed,max_wind_time,9am_temp,9am_rela_humi,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_rela_humi,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
2023-03-01,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2
2023-03-02,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3
2023-03-03,15.5,19.8,0.2,4.0,7.9,SSW,35.0,13:07,16.6,65,6,SE,13.0,1018.9,18.6,54,1,SSW,24.0,1017.3
2023-03-04,14.1,31.4,0.0,7.6,5.7,NNE,31.0,13:21,16.8,76,6,NE,7.0,1013.3,30.2,36,6,NNW,15.0,1008.0
2023-03-05,16.5,32.9,0.0,6.6,7.2,NNW,44.0,10:18,23.2,57,1,N,13.0,1003.9,29.2,31,5,SSW,6.0,1000.8
2023-03-06,15.5,25.3,5.6,10.8,11.2,NNW,50.0,9:54,17.4,63,1,NW,13.0,1004.9,24.0,37,3,NW,11.0,1003.0
2023-03-07,15.4,23.2,0.0,8.8,7.6,NNW,50.0,15:08,16.7,55,7,NNW,15.0,1006.7,21.3,39,6,NW,15.0,1003.9
2023-03-08,12.3,19.4,1.0,9.6,8.7,NW,48.0,23:33,13.4,62,1,NW,11.0,1007.3,18.2,35,7,W,9.0,1006.6
2023-03-09,12.9,22.1,0.0,5.2,6.2,W,31.0,9:34,14.5,63,7,WNW,7.0,1012.0,20.2,52,7,S,9.0,1011.9
2023-03-10,14.5,24.0,0.0,4.6,8.2,SSE,28.0,19:41,17.1,68,7,NW,6.0,1017.0,22.5,51,1,SSW,11.0,1014.5
2023-03-11,13.3,24.7,0.0,6.0,10.5,SSW,31.0,16:49,16.4,86,1,,0.0,1014.4,24.0,47,3,SSW,13.0,1011.9
2023-03-12,15.5,20.7,0.0,7.0,2.5,SSW,37.0,14:44,17.4,67,7,SSE,9.0,1014.8,19.6,58,6,SSW,17.0,1015.4
2023-03-13,11.7,22.4,0.0,2.4,9.6,S,30.0,15:34,16.4,68,7,S,7.0,1018.2,21.3,55,1,SSW,13.0,1016.6
2023-03-14,15.9,30.5,0.0,5.2,8.3,NNW,31.0,9:23,17.6,81,6,NNE,9.0,1016.5,30.3,34,6,N,13.0,1012.8
2023-03-15,17.6,22.9,0.0,8.0,5.1,SSW,24.0,14:28,19.0,81,8,SSW,6.0,1013.8,21.6,69,7,SSW,11.0,1010.3
2023-03-16,17.3,28.5,0.0,4.8,6.7,WSW,39.0,20:28,18.6,63,7,W,11.0,1010.0,27.6,40,2,WSW,13.0,1007.4
2023-03-17,15.8,24.6,2.6,6.6,10.6,SSW,28.0,23:34,16.8,64,4,W,7.0,1016.6,22.6,41,1,S,9.0,1014.7
2023-03-18,14.6,36.2,0.0,7.4,2.9,N,52.0,10:56,23.1,43,7,N,13.0,1011.4,32.0,27,7,N,17.0,1008.9
2023-03-19,17.3,19.0,0.0,8.8,0.0,SSW,28.0,18:58,17.4,74,8,SSE,7.0,1019.7,18.1,70,7,S,11.0,1020.1
2023-03-20,14.9,20.8,0.0,3.8,8.2,SSW,41.0,14:29,15.7,56,3,SE,17.0,1027.8,20.3,42,2,S,15.0,1026.5
2023-03-21,11.7,19.4,0.0,5.4,0.0,ESE,17.0,23:20,13.5,70,7,NNE,6.0,1025.7,18.4,65,8,NE,7.0,1022.7
2023-03-22,13.5,22.8,1.6,1.2,8.6,SSW,24.0,15:01,17.3,86,4,NE,2.0,1021.0,21.8,65,5,S,13.0,1019.1
2023-03-23,15.3,22.6,10.2,4.0,5.7,WNW,24.0,7:36,16.5,100,8,S,9.0,1017.6,21.4,68,4,SSW,9.0,1015.6
2023-03-24,16.1,21.6,1.4,2.0,0.4,SSE,31.0,10:11,17.3,74,8,SSE,7.0,1019.6,19.2,55,7,S,13.0,1019.0
2023-03-25,11.6,19.6,0.2,2.8,5.2,S,33.0,15:49,15.7,69,7,SE,9.0,1021.7,18.9,55,7,S,13.0,1019.1
2023-03-26,10.7,19.9,0.0,3.8,0.5,S,20.0,15:36,14.0,74,7,,0.0,1017.5,19.1,63,7,SSW,6.0,1014.4
2023-03-27,13.9,18.3,0.0,3.0,0.0,N,26.0,16:15,16.0,84,8,NNW,9.0,1013.1,17.6,81,8,N,11.0,1010.5
2023-03-28,15.5,20.9,8.0,0.0,6.2,SSW,24.0,14:56,16.7,95,7,,0.0,1012.4,20.2,69,2,S,11.0,1009.9
2023-03-29,14.9,18.5,5.8,3.0,0.9,S,43.0,16:48,14.9,91,8,SSW,7.0,1009.3,17.9,60,7,SSW,17.0,1008.6
2023-03-30,12.4,19.1,8.2,3.4,3.0,WSW,31.0,0:23,14.3,69,7,W,9.0,1011.0,18.4,57,7,SSW,13.0,1010.1
2023-03-31,14.1,19.4,0.0,4.0,4.8,S,33.0,14:53,15.2,71,4,WNW,6.0,1013.2,19.0,67,7,SSW,13.0,1012.6
2023-04-01,11.3,16.4,4.6,2.4,2.4,SSE,33.0,9:22,13.3,74,7,SE,9.0,1019.5,14.6,62,7,SSW,13.0,1019.9
2023-04-02,8.7,18.3,0.2,2.0,10.2,S,22.0,12:58,13.3,68,2,NE,6.0,1022.0,17.8,54,3,SSW,11.0,1019.4
2023-04-03,8.8,22.6,0.0,3.4,8.8,SSW,19.0,14:58,13.3,78,1,NE,7.0,1020.4,20.7,63,6,SSW,11.0,1016.5
2023-04-04,12.0,21.7,0.0,5.0,10.1,SSW,28.0,15:07,16.6,81,1,N,7.0,1019.3,20.7,73,6,SSW,11.0,1016.3
2023-04-05,13.8,18.4,0.0,4.0,0.2,SSW,22.0,14:31,16.8,76,7,SSE,2.0,1018.8,18.0,68,7,S,9.0,1016.4
2023-04-06,13.4,26.3,0.0,1.2,2.8,NNW,43.0,12:31,17.0,79,7,NE,6.0,1012.3,24.2,40,7,N,17.0,1007.4
2023-04-07,16.1,19.9,4.4,5.2,0.2,N,41.0,12:40,17.9,71,7,NNW,13.0,999.3,18.0,62,7,NNW,17.0,997.3
2023-04-08,13.7,18.0,11.2,1.4,2.1,SW,35.0,0:01,14.9,79,7,W,13.0,1006.1,15.0,76,7,SSW,15.0,1005.7
2023-04-09,10.5,15.5,7.8,3.8,0.6,SSW,43.0,14:27,11.7,84,7,W,9.0,1012.5,14.1,60,7,SSW,17.0,1012.8
2023-04-10,10.1,15.2,14.8,2.6,0.7,S,35.0,10:47,13.4,70,7,S,15.0,1014.5,14.9,64,7,SSW,13.0,1013.4
2023-04-11,11.9,19.1,6.0,1.4,6.5,SSW,19.0,13:33,14.7,81,7,ESE,2.0,1016.0,18.8,61,7,S,9.0,1010.9
2023-04-12,12.6,19.3,7.0,4.2,3.8,N,41.0,11:58,13.3,88,7,N,13.0,1004.8,18.6,64,4,N,20.0,1004.3
2023-04-13,11.2,22.8,4.4,2.0,7.8,E,28.0,13:57,15.3,89,4,SSW,4.0,1015.7,22.2,52,3,E,11.0,1015.2
2023-04-14,10.8,25.4,0.0,2.8,7.5,NNW,20.0,14:57,14.1,93,7,NE,9.0,1015.5,24.5,44,5,N,11.0,1010.0
2023-04-15,13.8,21.2,0.0,6.0,0.6,NNW,54.0,9:50,20.6,51,6,N,20.0,1001.1,18.5,69,7,N,15.0,999.5
2023-04-16,12.1,17.2,38.4,3.0,4.3,SSW,35.0,12:53,12.7,93,7,WSW,9.0,1004.3,16.4,68,5,SSW,9.0,1009.5
2023-04-17,8.7,20.7,2.0,3.0,4.4,N,24.0,11:00,14.8,66,2,N,7.0,1022.7,19.6,57,7,WSW,2.0,1021.9
2023-04-18,13.4,22.8,0.0,2.6,9.3,NNW,35.0,14:45,16.8,70,3,NNE,7.0,1023.6,22.3,48,3,NNW,17.0,1019.1
2023-04-19,14.4,17.5,1.2,3.4,6.0,SW,28.0,11:32,14.8,66,6,WSW,9.0,1022.0,15.8,53,5,SSW,9.0,1022.1
2023-04-20,7.8,18.5,0.0,4.0,4.9,SSW,17.0,12:47,12.4,72,2,NNE,7.0,1026.8,17.5,58,7,SW,4.0,1025.5
2023-04-21,11.3,19.0,0.0,2.8,0.5,SSW,13.0,10:48,14.8,78,7,NE,6.0,1030.5,18.6,64,7,SSE,2.0,1029.2
2023-04-22,14.6,19.2,0.0,0.0,4.8,SSW,22.0,16:09,15.2,84,7,SW,6.0,1031.9,18.8,64,2,SSW,11.0,1029.7
2023-04-23,14.8,19.0,0.0,1.6,3.0,SSW,26.0,15:45,16.7,79,7,SSE,7.0,1034.4,17.8,71,5,SSW,13.0,1032.4
2023-04-24,11.0,24.9,0.0,2.6,10.0,N,39.0,10:34,14.3,87,1,NE,9.0,1032.5,24.4,47,1,N,15.0,1028.4
2023-04-25,12.7,25.9,0.0,4.0,8.8,NNW,26.0,10:33,16.6,73,1,NNE,7.0,1029.3,25.5,38,7,NNW,6.0,1025.4
2023-04-26,12.0,24.6,0.0,4.0,8.7,N,35.0,10:15,16.0,72,1,NNE,9.0,1025.9,24.4,43,6,N,19.0,1021.0
