Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/03/2023,14.3,21.1,3.2,2,4.4,SSW,28,10:36,14.9,94,7,W,7,1013.3,20.7,61,7,SSW,9,1013.2
2/03/2023,14.5,21.7,0.8,3.8,1.3,SSW,26,14:14,16.1,73,7,WSW,9,1014.8,21.2,59,7,SW,9,1014.3
3/03/2023,15.5,19.8,0.2,4,7.9,SSW,35,13:07,16.6,65,6,SE,13,1018.9,18.6,54,1,SSW,24,1017.3
4/03/2023,14.1,31.4,0,7.6,5.7,NNE,31,13:21,16.8,76,6,NE,7,1013.3,30.2,36,6,NNW,15,1008
5/03/2023,16.5,32.9,0,6.6,7.2,NNW,44,10:18,23.2,57,1,N,13,1003.9,29.2,31,5,SSW,6,1000.8
6/03/2023,15.5,25.3,5.6,10.8,11.2,NNW,50,9:54,17.4,63,1,NW,13,1004.9,24,37,3,NW,11,1003
7/03/2023,15.4,23.2,0,8.8,7.6,NNW,50,15:08,16.7,55,7,NNW,15,1006.7,21.3,39,6,NW,15,1003.9
8/03/2023,12.3,19.4,1,9.6,8.7,NW,48,23:33,13.4,62,1,NW,11,1007.3,18.2,35,7,W,9,1006.6
9/03/2023,12.9,22.1,0,5.2,6.2,W,31,9:34,14.5,63,7,WNW,7,1012,20.2,52,7,S,9,1011.9
10/03/2023,14.5,24,0,4.6,8.2,SSE,28,19:41,17.1,68,7,NW,6,1017,22.5,51,1,SSW,11,1014.5
11/03/2023,13.3,24.7,0,6,10.5,SSW,31,16:49,16.4,86,1, ,Calm,1014.4,24,47,3,SSW,13,1011.9
12/03/2023,15.5,20.7,0,7,2.5,SSW,37,14:44,17.4,67,7,SSE,9,1014.8,19.6,58,6,SSW,17,1015.4
13/03/2023,11.7,22.4,0,2.4,9.6,S,30,15:34,16.4,68,7,S,7,1018.2,21.3,55,1,SSW,13,1016.6
14/03/2023,15.9,30.5,0,5.2,8.3,NNW,31,9:23,17.6,81,6,NNE,9,1016.5,30.3,34,6,N,13,1012.8
15/03/2023,17.6,22.9,0,8,5.1,SSW,24,14:28,19,81,8,SSW,6,1013.8,21.6,69,7,SSW,11,1010.3
16/03/2023,17.3,28.5,0,4.8,6.7,WSW,39,20:28,18.6,63,7,W,11,1010,27.6,40,2,WSW,13,1007.4
17/03/2023,15.8,24.6,2.6,6.6,10.6,SSW,28,23:34,16.8,64,4,W,7,1016.6,22.6,41,1,S,9,1014.7
18/03/2023,14.6,36.2,0,7.4,2.9,N,52,10:56,23.1,43,7,N,13,1011.4,32,27,7,N,17,1008.9
19/03/2023,17.3,19,0,8.8,0,SSW,28,18:58,17.4,74,8,SSE,7,1019.7,18.1,70,7,S,11,1020.1
